"","id","province","district2016","constituency","shp2015","website2015","shp2016","website2016","merge_flag","new_2016","renamed","website2011","website2006","province2006","district2006","website2008.x","common","website2008.y"
"1",1,"Central","Chibombo","Katuba","Katuba","Katuba","Katuba","Katuba",0,0,NA,"Katuba","Katuba","Central","Chibombo","Katuba","Katuba","Katuba"
"2",2,"Central","Chibombo","Keembe","Keembe","Keembe","Keembe","Keembe",0,0,NA,"Keembe","Keembe","Central","Chibombo","Keembe","Keembe","Keembe"
"3",3,"Central","Chisamba","Chisamba","Chisamba","Chisamba","Chisamba","Chisamba",0,0,NA,"Chisamba","Chisamba","Central","Chibombo","Chisamba","Chisamba","Chisamba"
"4",4,"Central","Chitambo","Chitambo","Chitambo","Chitambo","Chitambo","Chitambo",0,0,NA,"Chitambo","Chitambo","Central","Serenje","Chitambo","Chitambo","Chitambo"
"5",5,"Central","Itezhitezhi","Itezhitezhi","Itezhi-Tezhi","Itezhitezhi","Itezhitezhi","Itezhitezhi",2,0,"shp2015","Itezhitezhi","Itezhi-Tezhi","Southern","Itezhi-Tezhi","Itezhitezhi","Itezhi-Tezhi",NA
"6",6,"Central","Kabwe","Bwacha","Bwacha","Bwacha","Bwacha","Bwacha",0,0,NA,"Bwacha","Bwacha","Central","Kabwe","Bwacha","Bwacha","Bwacha"
"7",7,"Central","Kabwe","Kabwe Central","Kabwe Central","Kabwe Central","Kabwe Central","Kabwe Central",0,0,NA,"Kabwe Central","Kabwe Central","Central","Kabwe","Kabwe Central","Kabwe Central","Kabwe Central"
"8",8,"Central","Kapiri Mposhi","Kapiri Mposhi","Kapiri Mposhi","Kapiri Mposhi","Kapiri Mposhi","Kapiri Mposhi",0,0,NA,"Kapiri Mposhi","Kapiri Mposhi","Central","Kapiri-Mposhi","Kapiri Mposhi","Kapiri Mposhi","Kapiri Mposhi"
"9",9,"Central","Luano","Mkushi South","Mkushi South","Mkushi South","Mkushi South","Mkushi South",0,0,NA,"Mkushi South","Mkushi South","Central","Mkushi","Mkushi South","Mkushi South","Mkushi South"
"10",10,"Central","Mkushi","Mkushi North","Mkushi North","Mkushi North","Mkushi North","Mkushi North",0,0,NA,"Mkushi North","Mkushi North","Central","Mkushi","Mkushi North","Mkushi North","Mkushi North"
"11",11,"Central","Mumbwa","Mumbwa","Mumbwa","Mumbwa","Mumbwa","Mumbwa",0,0,NA,"Mumbwa","Mumbwa","Central","Mumbwa","Mumbwa","Mumbwa","Mumbwa"
"12",12,"Central","Mumbwa","Nangoma","Nangoma","Nangoma","Nangoma","Nangoma",0,0,NA,"Nangoma","Nangoma","Central","Mumbwa","Nangoma","Nangoma","Nangoma"
"13",13,"Central","Ngabwe","Lufubu",NA,NA,"Lufubu","Lufubu",2,1,"0",NA,NA,NA,NA,NA,NA,NA
"14",14,"Central","Serenje","Muchinga","Muchinga","Muchinga","Muchinga","Muchinga",0,0,NA,"Muchinga","Muchinga","Central","Serenje","Muchinga","Muchinga","Muchinga"
"15",15,"Central","Serenje","Serenje","Serenje Central","Serenje","Serenje","Serenje",2,0,"shp2015","Serenje","Serenje Central","Central","Serenje","Serenje","Serenje Central",NA
"16",16,"Copperbelt","Chililabombwe","Chililabombwe","Chililabombwe","Chililabombwe","Chililabombwe","Chililabombwe",0,0,NA,"Chililabombwe","Chililabombwe","Copperbelt","Chililabombwe","Chililabombwe","Chililabombwe","Chililabombwe"
"17",17,"Copperbelt","Chingola","Chingola","Chingola","Chingola","Chingola","Chingola",0,0,NA,"Chingola","Chingola","Copperbelt","Chingola","Chingola","Chingola","Chingola"
"18",18,"Copperbelt","Chingola","Nchanga","Nchanga","Nchanga","Nchanga","Nchanga",0,0,NA,"Nchanga","Nchanga","Copperbelt","Chingola","Nchanga","Nchanga","Nchanga"
"19",19,"Copperbelt","Kalulushi","Kalulushi","Kalulushi","Kalulushi","Kalulushi","Kalulushi",0,0,NA,"Kalulushi","Kalulushi","Copperbelt","Kalulushi","Kalulushi","Kalulushi","Kalulushi"
"20",20,"Copperbelt","Kitwe","Chimwemwe","Chimwemwe","Chimwemwe","Chimwemwe","Chimwemwe",0,0,NA,"Chimwemwe","Chimwemwe","Copperbelt","Kitwe","Chimwemwe","Chimwemwe","Chimwemwe"
"21",21,"Copperbelt","Kitwe","Kamfinsa","Kamfinsa","Kamfinsa","Kamfinsa","Kamfinsa",0,0,NA,"Kamfinsa","Kamfinsa","Copperbelt","Kitwe","Kamfinsa","Kamfinsa","Kamfinsa"
"22",22,"Copperbelt","Kitwe","Kwacha","Kwacha","Kwacha","Kwacha","Kwacha",0,0,NA,"Kwacha","Kwacha","Copperbelt","Kitwe","Kwacha","Kwacha","Kwacha"
"23",23,"Copperbelt","Kitwe","Nkana","Nkana","Nkana","Nkana","Nkana",0,0,NA,"Nkana","Nkana","Copperbelt","Kitwe","Nkana","Nkana","Nkana"
"24",24,"Copperbelt","Kitwe","Wusakile","Wusakile","Wusakile","Wusakile","Wusakile",0,0,NA,"Wusakile","Wusakile","Copperbelt","Kitwe","Wusakile","Wusakile","Wusakile"
"25",25,"Copperbelt","Luanshya","Luanshya","Luanshya","Luanshya","Luanshya","Luanshya",0,0,NA,"Luanshya","Luanshya","Copperbelt","Luanshya","Luanshya","Luanshya","Luanshya"
"26",26,"Copperbelt","Luanshya","Roan","Roan","Roan","Roan","Roan",0,0,NA,"Roan","Roan","Copperbelt","Luanshya","Roan","Roan","Roan"
"27",27,"Copperbelt","Lufwanyama","Lufwanyama","Lufwanyama","Lufwanyama","Lufwanyama","Lufwanyama",0,0,NA,"Lufwanyama","Lufwanyama","Copperbelt","Lufwanyama","Lufwanyama","Lufwanyama","Lufwanyama"
"28",28,"Copperbelt","Masaiti","Kafulafuta","Kafulafuta","Kafulafuta","Kafulafuta","Kafulafuta",0,0,NA,"Kafulafuta","Kafulafuta","Copperbelt","Masaiti","Kafulafuta","Kafulafuta","Kafulafuta"
"29",29,"Copperbelt","Masaiti","Masaiti","Masaiti","Masaiti","Masaiti","Masaiti",0,0,NA,"Masaiti","Masaiti","Copperbelt","Masaiti","Masaiti","Masaiti","Masaiti"
"30",30,"Copperbelt","Mpongwe","Mpongwe","Mpongwe","Mpongwe","Mpomgwe","Mpongwe",2,0,"shp2016","Mpongwe","Mpongwe","Copperbelt","Mpongwe","Mpongwe","Mpongwe","Mpongwe"
"31",31,"Copperbelt","Mufulira","Kankoyo","Kankoyo","Kankoyo","Kankoyo","Kankoyo",0,0,NA,"Kankoyo","Kankoyo","Copperbelt","Mufulira","Kankoyo","Kankoyo","Kankoyo"
"32",32,"Copperbelt","Mufulira","Kantanshi","Kantanshi","Kantanshi","Kantanshi","Kantanshi",0,0,NA,"Kantanshi","Kantanshi","Copperbelt","Mufulira","Kantanshi","Kantanshi","Kantanshi"
"33",33,"Copperbelt","Mufulira","Mufulira","Mufulira","Mufulira","Mufulira","Mufulira",0,0,NA,"Mufulira","Mufulira","Copperbelt","Mufulira","Mufulira","Mufulira","Mufulira"
"34",34,"Copperbelt","Ndola","Bwana Mkubwa","Bwanamkubwa","Bwana Mkubwa","Bwana Mkubwa","Bwana Mkubwa",2,0,"shp2015","Bwana Mkubwa","Bwana Mkubwa","Copperbelt","Ndola","Bwanankubwa","Bwana Mkubwa",NA
"35",35,"Copperbelt","Ndola","Chifubu","Chifubu","Chifubu","Chifubu","Chifubu",0,0,NA,"Chifubu","Chifubu","Copperbelt","Ndola","Chifubu","Chifubu","Chifubu"
"36",36,"Copperbelt","Ndola","Kabushi","Kabushi","Kabushi","Kabushi","Kabushi",0,0,NA,"Kabushi","Kabushi","Copperbelt","Ndola","Kabushi","Kabushi","Kabushi"
"37",37,"Copperbelt","Ndola","Ndola Central","Ndola Central","Ndola Central","Ndola Central","Ndola Central",0,0,NA,"Ndola Central","Ndola Central","Copperbelt","Ndola","Ndola Central","Ndola Central","Ndola Central"
"38",38,"Eastern","Chadiza","Chadiza","Chadiza","Chadiza","Chadiza","Chadiza",0,0,NA,"Chadiza","Chadiza","Eastern","Chadiza","Chadiza","Chadiza","Chadiza"
"39",39,"Eastern","Chipata","Chipangali","Chipangali","Chipangali","Chipangali","Chipangali",0,0,NA,"Chipangali","Chipangali","Eastern","Chipata","Chipangali","Chipangali","Chipangali"
"40",40,"Eastern","Chipata","Chipata Central","Chipata Central","Chipata Central","Chipata Central","Chipata Central",0,0,NA,"Chipata Central","Chipata Central","Eastern","Chipata","Chipata Central","Chipata Central","Chipata Central"
"41",41,"Eastern","Chipata","Kasenengwa","Kasenengwa","Kasenengwa","Kasenengwa","Kasenengwa",0,0,NA,"Kasenengwa","Kasenengwa","Eastern","Chipata","Kasenengwa","Kasenengwa","Kasenengwa"
"42",42,"Eastern","Chipata","Luangeni","Luangeni","Luangeni","Luangeni","Luangeni",0,0,NA,"Luangeni","Luangeni","Eastern","Chipata","Luangeni","Luangeni","Luangeni"
"43",43,"Eastern","Katete","Milanzi","Milanzi","Milanzi","Milanzi","Milanzi",0,0,NA,"Milanzi","Milanzi","Eastern","Katete","Milanzi","Milanzi","Milanzi"
"44",44,"Eastern","Katete","Mkaika","Mkaika","Mkaika","Mkaika","Mkaika",0,0,NA,"Mkaika","Mkaika","Eastern","Katete","Mkaika","Mkaika","Mkaika"
