"","constituency","website2015","province","district"
"1","Katuba","Katuba","Central","Chibombo"
"2","Keembe","Keembe","Central","Chibombo"
"3","Chisamba","Chisamba","Central","Chisamba"
"4","Chitambo","Chitambo","Central","Chitambo"
"5","Itezhitezhi","Itezhitezhi","Central","Itezhitezhi"
"6","Bwacha","Bwacha","Central","Kabwe"
"7","Kabwe Central","Kabwe Central","Central","Kabwe"
"8","Kapiri Mposhi","Kapiri Mposhi","Central","Kapiri Mposhi"
"9","Mkushi South","Mkushi South","Central","Luano"
"10","Mkushi North","Mkushi North","Central","Mkushi"
"11","Mumbwa","Mumbwa","Central","Mumbwa"
"12","Nangoma","Nangoma","Central","Mumbwa"
"13","Lufubu",NA,NA,NA
"14","Muchinga","Muchinga","Central","Serenje"
"15","Serenje","Serenje","Central","Serenje"
"16","Chililabombwe","Chililabombwe","Copperbelt","Chililabombwe"
"17","Chingola","Chingola","Copperbelt","Chingola"
"18","Nchanga","Nchanga","Copperbelt","Chingola"
"19","Kalulushi","Kalulushi","Copperbelt","Kalulushi"
"20","Chimwemwe","Chimwemwe","Copperbelt","Kitwe"
"21","Kamfinsa","Kamfinsa","Copperbelt","Kitwe"
"22","Kwacha","Kwacha","Copperbelt","Kitwe"
"23","Nkana","Nkana","Copperbelt","Kitwe"
"24","Wusakile","Wusakile","Copperbelt","Kitwe"
"25","Luanshya","Luanshya","Copperbelt","Luanshya"
"26","Roan","Roan","Copperbelt","Luanshya"
"27","Lufwanyama","Lufwanyama","Copperbelt","Lufwanyama"
"28","Kafulafuta","Kafulafuta","Copperbelt","Masaiti"
"29","Masaiti","Masaiti","Copperbelt","Masaiti"
"30","Mpongwe","Mpongwe","Copperbelt","Mpongwe"
"31","Kankoyo","Kankoyo","Copperbelt","Mufulira"
"32","Kantanshi","Kantanshi","Copperbelt","Mufulira"
"33","Mufulira","Mufulira","Copperbelt","Mufulira"
"34","Bwana Mkubwa","Bwana Mkubwa","Copperbelt","Ndola"
"35","Chifubu","Chifubu","Copperbelt","Ndola"
"36","Kabushi","Kabushi","Copperbelt","Ndola"
"37","Ndola Central","Ndola Central","Copperbelt","Ndola"
"38","Chadiza","Chadiza","Eastern","Chadiza"
"39","Chipangali","Chipangali","Eastern","Chipata"
"40","Chipata Central","Chipata Central","Eastern","Chipata"
"41","Kasenengwa","Kasenengwa","Eastern","Chipata"
"42","Luangeni","Luangeni","Eastern","Chipata"
"43","Milanzi","Milanzi","Eastern","Katete"
"44","Mkaika","Mkaika","Eastern","Katete"
"45","Chasefu","Chasefu","Eastern","Lundazi"
"46","Lumezi","Lumezi","Eastern","Lundazi"
"47","Lundazi","Lundazi","Eastern","Lundazi"
"48","Malambo","Malambo","Eastern","Mambwe"
"49","Nyimba","Nyimba","Eastern","Nyimba"
"50","Kaumbwe","Kapoche","Eastern","Petauke"
"51","Msanzala","Msanzala","Eastern","Petauke"
"52","Petauke","Petauke","Eastern","Petauke"
"53","Kapoche",NA,NA,NA
"54","Sinda","Sinda","Eastern","Sinda"
"55","Vubwi","Vubwi","Eastern","Vubwi"
"56","Chembe",NA,NA,NA
"57","Chienge","Chienge","Luapula","Chienge"
"58","Chipili","Chipili","Luapula","Chipili"
"59","Kawambwa","Kawambwa","Luapula","Kawambwa"
"60","Pambashe","Pambashe","Luapula","Kawambwa"
"61","Luapula","Luapula","Luapula","Lunga"
"62","Bahati","Bahati","Luapula","Mansa"
"63","Mansa Central","Mansa Central","Luapula","Mansa"
"64","Milenge","Chembe","Luapula","Milenge"
"65","Mwansabombwe","Mwansabombwe","Luapula","Mwansabombwe"
"66","Mambilima","Mambilima","Luapula","Mwense"
"67","Mwense","Mwense","Luapula","Mwense"
"68","Nchelenge","Nchelenge","Luapula","Nchelenge"
"69","Bangweulu","Bangweulu","Luapula","Samfya"
"70","Chifunabuli","Chifunabuli","Luapula","Samfya"
"71","Chilanga","Chilanga","Lusaka","Chilanga"
"72","Chirundu",NA,NA,NA
"73","Chongwe","Chongwe","Lusaka","Chongwe"
