ward_url,ward_polling,ward,polling_station,constituency,province,district,ward_fromurl,dist_fromurl,shp2015,website2015,shp2016,website2016,merge_flag,new_2016,renamed
"/results/2015_presidential_election/poll/chikumbi,chibombo",CHIKUMBI/Nazarene Church,Chikumbi,Nazarene Church,Katuba,Central,Chibombo,Chikumbi,Chibombo,Katuba,Katuba,Katuba,Katuba,0,0,NA
"/results/2015_presidential_election/poll/chilochabalenje,chibombo",CHILOCHABALENJE/Chilochabalenje Primary School,Chilochabalenje,Chilochabalenje Primary School,Katuba,Central,Chibombo,Chilochabalenje,Chibombo,Katuba,Katuba,Katuba,Katuba,0,0,NA
"/results/2015_presidential_election/poll/chipeso,chibombo",CHIPESO/Chipeso Primary School,Chipeso,Chipeso Primary School,Katuba,Central,Chibombo,Chipeso,Chibombo,Katuba,Katuba,Katuba,Katuba,0,0,NA
"/results/2015_presidential_election/poll/chombela,chibombo",CHOMBELA/Chombela Primary School,Chombela,Chombela Primary School,Katuba,Central,Chibombo,Chombela,Chibombo,Katuba,Katuba,Katuba,Katuba,0,0,NA
"/results/2015_presidential_election/poll/chunga,chibombo",CHUNGA/Nalunyanda Clinic,Chunga,Nalunyanda Clinic,Katuba,Central,Chibombo,Chunga,Chibombo,Katuba,Katuba,Katuba,Katuba,0,0,NA
"/results/2015_presidential_election/poll/kabangalala,chibombo",KABANGALALA/Kabangalala Primary School,Kabangalala,Kabangalala Primary School,Katuba,Central,Chibombo,Kabangalala,Chibombo,Katuba,Katuba,Katuba,Katuba,0,0,NA
"/results/2015_presidential_election/poll/kabangwe,chibombo",KABANGWE/Kabangwe Sub Office,Kabangwe,Kabangwe Sub Office,Katuba,Central,Chibombo,Kabangwe,Chibombo,Katuba,Katuba,Katuba,Katuba,0,0,NA
"/results/2015_presidential_election/poll/kabile,chibombo",KABILE/Kabile  Primary School,Kabile,Kabile  Primary School,Katuba,Central,Chibombo,Kabile,Chibombo,Katuba,Katuba,Katuba,Katuba,0,0,NA
"/results/2015_presidential_election/poll/kalala,chibombo",KALALA/Kalala Primary School,Kalala,Kalala Primary School,Katuba,Central,Chibombo,Kalala,Chibombo,Katuba,Katuba,Katuba,Katuba,0,0,NA
"/results/2015_presidential_election/poll/kamaila,chibombo",KAMAILA/Kamaila Primary School,Kamaila,Kamaila Primary School,Katuba,Central,Chibombo,Kamaila,Chibombo,Katuba,Katuba,Katuba,Katuba,0,0,NA
"/results/2015_presidential_election/poll/kanwanjiba,chibombo",KANWANJIBA/Kanwanjiba Primary School,Kanwanjiba,Kanwanjiba Primary School,Katuba,Central,Chibombo,Kanwanjiba,Chibombo,Katuba,Katuba,Katuba,Katuba,0,0,NA
"/results/2015_presidential_election/poll/kapila,chibombo",KAPILA/Kapila Primary School,Kapila,Kapila Primary School,Katuba,Central,Chibombo,Kapila,Chibombo,Katuba,Katuba,Katuba,Katuba,0,0,NA
"/results/2015_presidential_election/poll/kapopola,chibombo",KAPOPOLA/Kapopola Primary School,Kapopola,Kapopola Primary School,Katuba,Central,Chibombo,Kapopola,Chibombo,Katuba,Katuba,Katuba,Katuba,0,0,NA
"/results/2015_presidential_election/poll/kasangwa,chibombo",KASANGWA/Kachangwa SDA Church,Kasangwa,Kachangwa SDA Church,Katuba,Central,Chibombo,Kasangwa,Chibombo,Katuba,Katuba,Katuba,Katuba,0,0,NA
"/results/2015_presidential_election/poll/katete,chibombo",KATETE/Katete Primary School,Katete,Katete Primary School,Katuba,Central,Chibombo,Katete,Chibombo,Katuba,Katuba,Katuba,Katuba,0,0,NA
"/results/2015_presidential_election/poll/katole,chibombo",KATOLE/Katole Primary School,Katole,Katole Primary School,Katuba,Central,Chibombo,Katole,Chibombo,Katuba,Katuba,Katuba,Katuba,0,0,NA
"/results/2015_presidential_election/poll/katuba,chibombo",KATUBA/Katuba Primary School,Katuba,Katuba Primary School,Katuba,Central,Chibombo,Katuba,Chibombo,Katuba,Katuba,Katuba,Katuba,0,0,NA
"/results/2015_presidential_election/poll/kayosha,chibombo",KAYOSHA/Kayosha Primary School,Kayosha,Kayosha Primary School,Katuba,Central,Chibombo,Kayosha,Chibombo,Katuba,Katuba,Katuba,Katuba,0,0,NA
"/results/2015_presidential_election/poll/lubobo,chibombo",LUBOBO/Lubobo Church,Lubobo,Lubobo Church,Katuba,Central,Chibombo,Lubobo,Chibombo,Katuba,Katuba,Katuba,Katuba,0,0,NA
"/results/2015_presidential_election/poll/lukata,chibombo",LUKATA/Lukata Primary School,Lukata,Lukata Primary School,Katuba,Central,Chibombo,Lukata,Chibombo,Katuba,Katuba,Katuba,Katuba,0,0,NA
"/results/2015_presidential_election/poll/lupani,chibombo",LUPANI/Lupani Primary School,Lupani,Lupani Primary School,Katuba,Central,Chibombo,Lupani,Chibombo,Katuba,Katuba,Katuba,Katuba,0,0,NA
"/results/2015_presidential_election/poll/malaila,chibombo",MALAILA/Zamseed Farm Ltd,Malaila,Zamseed Farm Ltd,Katuba,Central,Chibombo,Malaila,Chibombo,Katuba,Katuba,Katuba,Katuba,0,0,NA
"/results/2015_presidential_election/poll/malichashi,chibombo",MALICHASHI/Malichashi Primary School,Malichashi,Malichashi Primary School,Katuba,Central,Chibombo,Malichashi,Chibombo,Katuba,Katuba,Katuba,Katuba,0,0,NA
"/results/2015_presidential_election/poll/mboshya,chibombo",MBOSHYA/Mboshya Primary School,Mboshya,Mboshya Primary School,Katuba,Central,Chibombo,Mboshya,Chibombo,Katuba,Katuba,Katuba,Katuba,0,0,NA
"/results/2015_presidential_election/poll/muchenje,chibombo",MUCHENJE/Muchenje Primary School,Muchenje,Muchenje Primary School,Katuba,Central,Chibombo,Muchenje,Chibombo,Katuba,Katuba,Katuba,Katuba,0,0,NA
"/results/2015_presidential_election/poll/mungule,chibombo",MUNGULE/Mutakwa Primary School,Mungule,Mutakwa Primary School,Katuba,Central,Chibombo,Mungule,Chibombo,Katuba,Katuba,Katuba,Katuba,0,0,NA
"/results/2015_presidential_election/poll/mungule_east,chibombo",MUNGULE EAST/Moomba Primry School,Mungule East,Moomba Primry School,Katuba,Central,Chibombo,Mungule_east,Chibombo,Katuba,Katuba,Katuba,Katuba,0,0,NA
"/results/2015_presidential_election/poll/mungule_north,chibombo",MUNGULE NORTH/Namunuunga Primary School,Mungule North,Namunuunga Primary School,Katuba,Central,Chibombo,Mungule_north,Chibombo,Katuba,Katuba,Katuba,Katuba,0,0,NA
"/results/2015_presidential_election/poll/muwanjuni,chibombo",MUWANJUNI/Muwanjuni Primary School,Muwanjuni,Muwanjuni Primary School,Katuba,Central,Chibombo,Muwanjuni,Chibombo,Katuba,Katuba,Katuba,Katuba,0,0,NA
"/results/2015_presidential_election/poll/namayani,chibombo",NAMAYANI/Namayani Primary School,Namayani,Namayani Primary School,Katuba,Central,Chibombo,Namayani,Chibombo,Katuba,Katuba,Katuba,Katuba,0,0,NA
"/results/2015_presidential_election/poll/shifwankula_east,chibombo",SHIFWANKULA EAST/Shifwankula Primary School,Shifwankula East,Shifwankula Primary School,Katuba,Central,Chibombo,Shifwankula_east,Chibombo,Katuba,Katuba,Katuba,Katuba,0,0,NA
"/results/2015_presidential_election/poll/shifwankula_west,chibombo",SHIFWANKULA WEST/Kapopo Primary School,Shifwankula West,Kapopo Primary School,Katuba,Central,Chibombo,Shifwankula_west,Chibombo,Katuba,Katuba,Katuba,Katuba,0,0,NA
"/results/2015_presidential_election/poll/chabona,chibombo",CHABONA/Chabona Primary School,Chabona,Chabona Primary School,Keembe,Central,Chibombo,Chabona,Chibombo,Keembe,Keembe,Keembe,Keembe,0,0,NA
"/results/2015_presidential_election/poll/chaloshi,chibombo",CHALOSHI/Golden Valley Primary School,Chaloshi,Golden Valley Primary School,Keembe,Central,Chibombo,Chaloshi,Chibombo,Keembe,Keembe,Keembe,Keembe,0,0,NA
"/results/2015_presidential_election/poll/chibombo,chibombo",CHIBOMBO/Chibombo Primary School,Chibombo,Chibombo Primary School,Keembe,Central,Chibombo,Chibombo,Chibombo,Keembe,Keembe,Keembe,Keembe,0,0,NA
"/results/2015_presidential_election/poll/chikula,chibombo",CHIKULA/Chikula M B School,Chikula,Chikula M B School,Keembe,Central,Chibombo,Chikula,Chibombo,Keembe,Keembe,Keembe,Keembe,0,0,NA
"/results/2015_presidential_election/poll/chilonga,chibombo",CHILONGA/Chilonga Prmiary School,Chilonga,Chilonga Prmiary School,Keembe,Central,Chibombo,Chilonga,Chibombo,Keembe,Keembe,Keembe,Keembe,0,0,NA
"/results/2015_presidential_election/poll/chinyongola,chibombo",CHINYONGOLA/Chinyongola Primary School,Chinyongola,Chinyongola Primary School,Keembe,Central,Chibombo,Chinyongola,Chibombo,Keembe,Keembe,Keembe,Keembe,0,0,NA
"/results/2015_presidential_election/poll/chipako,chibombo",CHIPAKO/Chipako Primary School,Chipako,Chipako Primary School,Keembe,Central,Chibombo,Chipako,Chibombo,Keembe,Keembe,Keembe,Keembe,0,0,NA
"/results/2015_presidential_election/poll/chipili,chibombo",CHIPILI/Chipili Primary School,Chipili,Chipili Primary School,Keembe,Central,Chibombo,Chipili,Chibombo,Keembe,Keembe,Keembe,Keembe,0,0,NA
"/results/2015_presidential_election/poll/chitebulu,chibombo",CHITEBULU/Chitebulu Primary Basic School,Chitebulu,Chitebulu Primary Basic School,Keembe,Central,Chibombo,Chitebulu,Chibombo,Keembe,Keembe,Keembe,Keembe,0,0,NA
"/results/2015_presidential_election/poll/chititi,chibombo",CHITITI/Chititi Primary School,Chititi,Chititi Primary School,Keembe,Central,Chibombo,Chititi,Chibombo,Keembe,Keembe,Keembe,Keembe,0,0,NA
"/results/2015_presidential_election/poll/chitulu,chibombo",CHITULU/Chitulu Primary School,Chitulu,Chitulu Primary School,Keembe,Central,Chibombo,Chitulu,Chibombo,Keembe,Keembe,Keembe,Keembe,0,0,NA
"/results/2015_presidential_election/poll/chiyuni,chibombo",CHIYUNI/Chiyuni Primary School,Chiyuni,Chiyuni Primary School,Keembe,Central,Chibombo,Chiyuni,Chibombo,Keembe,Keembe,Keembe,Keembe,0,0,NA
"/results/2015_presidential_election/poll/ipongo,chibombo",IPONGO/Ipongo Primary School,Ipongo,Ipongo Primary School,Keembe,Central,Chibombo,Ipongo,Chibombo,Keembe,Keembe,Keembe,Keembe,0,0,NA
"/results/2015_presidential_election/poll/itumbwe,chibombo",ITUMBWE/Itumbwe Primary School,Itumbwe,Itumbwe Primary School,Keembe,Central,Chibombo,Itumbwe,Chibombo,Keembe,Keembe,Keembe,Keembe,0,0,NA
"/results/2015_presidential_election/poll/kabanje,chibombo",KABANJE/Kabanje Primary School,Kabanje,Kabanje Primary School,Keembe,Central,Chibombo,Kabanje,Chibombo,Keembe,Keembe,Keembe,Keembe,0,0,NA
"/results/2015_presidential_election/poll/kafululu,chibombo",KAFULULU/Kafululu Primary School,Kafululu,Kafululu Primary School,Keembe,Central,Chibombo,Kafululu,Chibombo,Keembe,Keembe,Keembe,Keembe,0,0,NA
"/results/2015_presidential_election/poll/kafushi,chibombo",KAFUSHI/Kafushi High School,Kafushi,Kafushi High School,Keembe,Central,Chibombo,Kafushi,Chibombo,Keembe,Keembe,Keembe,Keembe,0,0,NA
"/results/2015_presidential_election/poll/kakoma,chibombo",KAKOMA/Shimukuni Primary School,Kakoma,Shimukuni Primary School,Keembe,Central,Chibombo,Kakoma,Chibombo,Keembe,Keembe,Keembe,Keembe,0,0,NA
"/results/2015_presidential_election/poll/kakoma_north,chibombo",KAKOMA NORTH/Mufwambe Primary school,Kakoma North,Mufwambe Primary school,Keembe,Central,Chibombo,Kakoma_north,Chibombo,Keembe,Keembe,Keembe,Keembe,0,0,NA
"/results/2015_presidential_election/poll/kakunka,chibombo",KAKUNKA/Mulabo Primary School,Kakunka,Mulabo Primary School,Keembe,Central,Chibombo,Kakunka,Chibombo,Keembe,Keembe,Keembe,Keembe,0,0,NA
"/results/2015_presidential_election/poll/kalobelo,chibombo",KALOBELO/Kalobelo Primary School,Kalobelo,Kalobelo Primary School,Keembe,Central,Chibombo,Kalobelo,Chibombo,Keembe,Keembe,Keembe,Keembe,0,0,NA
"/results/2015_presidential_election/poll/kalola_east,chibombo",KALOLA EAST/Mwachisompola Zone Hospital,Kalola East,Mwachisompola Zone Hospital,Keembe,Central,Chibombo,Kalola_east,Chibombo,Keembe,Keembe,Keembe,Keembe,0,0,NA
"/results/2015_presidential_election/poll/kalola_south,chibombo",KALOLA SOUTH/Muntemba Primary School,Kalola South,Muntemba Primary School,Keembe,Central,Chibombo,Kalola_south,Chibombo,Keembe,Keembe,Keembe,Keembe,0,0,NA
"/results/2015_presidential_election/poll/kamishishi,chibombo",KAMISHISHI/Kamishishi Primary School,Kamishishi,Kamishishi Primary School,Keembe,Central,Chibombo,Kamishishi,Chibombo,Keembe,Keembe,Keembe,Keembe,0,0,NA
"/results/2015_presidential_election/poll/kantupu,chibombo",KANTUPU/Kantupu Primary School,Kantupu,Kantupu Primary School,Keembe,Central,Chibombo,Kantupu,Chibombo,Keembe,Keembe,Keembe,Keembe,0,0,NA
"/results/2015_presidential_election/poll/kapukupuku,chibombo",KAPUKUPUKU/Kapukupuku Fishing Camp,Kapukupuku,Kapukupuku Fishing Camp,Keembe,Central,Chibombo,Kapukupuku,Chibombo,Keembe,Keembe,Keembe,Keembe,0,0,NA
"/results/2015_presidential_election/poll/keembe,chibombo",KEEMBE/Kabimba Primary School,Keembe,Kabimba Primary School,Keembe,Central,Chibombo,Keembe,Chibombo,Keembe,Keembe,Keembe,Keembe,0,0,NA
"/results/2015_presidential_election/poll/keembe_ranch,chibombo",KEEMBE RANCH/Nchename Primary School,Keembe Ranch,Nchename Primary School,Keembe,Central,Chibombo,Keembe_ranch,Chibombo,Keembe,Keembe,Keembe,Keembe,0,0,NA
"/results/2015_presidential_election/poll/kelimwandwe,chibombo",KELIMWANDWE/Kelimwandwe Primary School,Kelimwandwe,Kelimwandwe Primary School,Keembe,Central,Chibombo,Kelimwandwe,Chibombo,Keembe,Keembe,Keembe,Keembe,0,0,NA
"/results/2015_presidential_election/poll/landless_corner,chibombo",LANDLESS CORNER/Shalubala Primary School,Landless Corner,Shalubala Primary School,Keembe,Central,Chibombo,Landless_corner,Chibombo,Keembe,Keembe,Keembe,Keembe,0,0,NA
"/results/2015_presidential_election/poll/liteta,chibombo",LITETA/Liteta Local Court,Liteta,Liteta Local Court,Keembe,Central,Chibombo,Liteta,Chibombo,Keembe,Keembe,Keembe,Keembe,0,0,NA
"/results/2015_presidential_election/poll/lubundi,chibombo",LUBUNDI/Lubundi Primary School,Lubundi,Lubundi Primary School,Keembe,Central,Chibombo,Lubundi,Chibombo,Keembe,Keembe,Keembe,Keembe,0,0,NA
"/results/2015_presidential_election/poll/lunjofwa,chibombo",LUNJOFWA/Lunjofwa Primary School,Lunjofwa,Lunjofwa Primary School,Keembe,Central,Chibombo,Lunjofwa,Chibombo,Keembe,Keembe,Keembe,Keembe,0,0,NA
"/results/2015_presidential_election/poll/lyansa,chibombo",LYANSA/Lyansa Community School,Lyansa,Lyansa Community School,Keembe,Central,Chibombo,Lyansa,Chibombo,Keembe,Keembe,Keembe,Keembe,0,0,NA
"/results/2015_presidential_election/poll/makoka,chibombo",MAKOKA/Makoka Primary School,Makoka,Makoka Primary School,Keembe,Central,Chibombo,Makoka,Chibombo,Keembe,Keembe,Keembe,Keembe,0,0,NA
"/results/2015_presidential_election/poll/malambanyama,chibombo",MALAMBANYAMA/Malambanyama Primary School,Malambanyama,Malambanyama Primary School,Keembe,Central,Chibombo,Malambanyama,Chibombo,Keembe,Keembe,Keembe,Keembe,0,0,NA
"/results/2015_presidential_election/poll/mashikili_central,chibombo",MASHIKILI CENTRAL/Keembe Primary School,Mashikili Central,Keembe Primary School,Keembe,Central,Chibombo,Mashikili_central,Chibombo,Keembe,Keembe,Keembe,Keembe,0,0,NA
"/results/2015_presidential_election/poll/mashikili_east,chibombo",MASHIKILI EAST/Mashikili Primary School,Mashikili East,Mashikili Primary School,Keembe,Central,Chibombo,Mashikili_east,Chibombo,Keembe,Keembe,Keembe,Keembe,0,0,NA
