"","lastname","firstname","Photo","Party","Votes","constituency","candidate","votes","pct_votes","rank","won","margin_victory","pct_margin","province","district"
"1","KALABA","Harry",NA,"PF","18,166","Bahati","Harry Kalaba",18166,0.817478174781748,1,1,14110,0.634956349563496,"Luapula","Mansa"
"2","LUSAKA","Makuwa A",NA,"UPND","4,056","Bahati","Makuwa A Lusaka",4056,0.182521825218252,2,0,NA,NA,"Luapula","Mansa"
"3","KASANDWE","Anthony",NA,"PF","18,430","Bangweulu","Anthony Kasandwe",18430,0.636373053416664,1,1,11043,0.38130589413349,"Luapula","Samfya"
"4","SHABANI","Sally M",NA,"FDD","7,387","Bangweulu","Sally M Shabani",7387,0.255067159283174,2,0,NA,NA,"Luapula","Samfya"
"5","CHINAMA","Prudence M",NA,"UPND","2,040","Bangweulu","Prudence M Chinama",2040,0.0704395566451435,3,0,NA,NA,"Luapula","Samfya"
"6","KASONGO","Joseph C",NA,"IND","876","Bangweulu","Joseph C Kasongo",876,0.030247574324091,4,0,NA,NA,"Luapula","Samfya"
"7","MWANSA","Robby",NA,"RAINBOW","228","Bangweulu","Robby Mwansa",228,0.0078726563309278,5,0,NA,NA,"Luapula","Samfya"
"8","MUSHANGA","Sydney",NA,"PF","14,641","Bwacha","Sydney Mushanga",14641,0.612209910098265,1,1,6527,0.272924942504704,"Central","Kabwe"
"9","CHIBWANA","Saidi",NA,"UPND","8,114","Bwacha","Saidi Chibwana",8114,0.339284967593561,2,0,NA,NA,"Central","Kabwe"
"10","CHILESHE","Webster",NA,"FDD","686","Bwacha","Webster Chileshe",686,0.0286849257787999,3,0,NA,NA,"Central","Kabwe"
"11","CHIMOTO","Boniface",NA,"MMD","474","Bwacha","Boniface Chimoto",474,0.0198201965293749,4,0,NA,NA,"Central","Kabwe"
"12","CHANDA","Jonas K",NA,"PF","19,478","Bwana Mkubwa","Jonas K Chanda",19478,0.689657614276104,1,1,11700,0.414261941011932,"Copperbelt","Ndola"
"13","SIKALUBYA","Bryan P",NA,"UPND","7,778","Bwana Mkubwa","Bryan P Sikalubya",7778,0.275395673264172,2,0,NA,NA,"Copperbelt","Ndola"
"14","TSENZI","Deborah",NA,"FDD","506","Bwana Mkubwa","Deborah Tsenzi",506,0.0179159437736784,3,0,NA,NA,"Copperbelt","Ndola"
"15","KANGWA","Richard ON",NA,"RAINBOW","481","Bwana Mkubwa","Richard On Kangwa",481,0.0170307686860461,4,0,NA,NA,"Copperbelt","Ndola"
"16","MICHELO","Kasauta S",NA,"UPND","20,548","Bweengwa","Kasauta S Michelo",20548,0.957591574238046,1,1,19638,0.915183148476093,"Southern","Monze"
"17","MWEEMPWA","Jocelyn CM",NA,"PF","910","Bweengwa","Jocelyn Cm Mweempwa",910,0.0424084257619536,2,0,NA,NA,"Southern","Monze"
