id	variable_name	description	available_in_constituency_breakdowns	available_in_constituency_totals
1	province	admin1	1	1
2	district	admin2	1	1
3	constituency	voting boundary	1	1
4	constit_id	constituency id	1	1
5	year	year of election	1	1
6	registered	number of registered voters	0	1
7	cast	number of votes cast for a candidate	0	1
8	"votes, valid_votes"	number of valid votes for a candidate (cast - rejected)	1	1
9	rejected	number of votes rejected	0	1
10	pct_rejected	rejected/cast	0	1
11	turnout	cast / registered	0	1
12	valid_turnout	valid_votes / registered	0	1
13	rank	"rank order of number of votes, by constituency"	1	0
14	won	binary: did the candidate win the constituency?	1	0
15	pct_votes	"percent of a particular candidate compared to the constituency total (votes/sum(votes, by = constituency)"	1	0
16	margin_victory	difference between the candidate who won the constituency and his/her nearest opponent	1	0
17	pct_margin	difference in percent of the constituency the candidate won	1	0
