"","constituency","Released on Website","Total Registered Voters","Total Votes Cast","Total Votes Rejected","Turnout","registered","cast","rejected","valid_votes","turnout","valid_turnout","pct_rejected","province","district"
"1","Bahati","Fri, 26 Aug 2016 15:16:17 +0200","43,827","22,693","471","51.78%",43827,22693,471,22222,0.517785839779132,0.507039039861273,0.0207552989908782,"Luapula","Mansa"
"2","Bangweulu","Fri, 26 Aug 2016 14:51:19 +0200","54,391","29,979","1,018","55.12%",54391,29979,1018,28961,0.551175745987388,0.532459414241327,0.0339571033056473,"Luapula","Samfya"
"3","Bwacha","Fri, 26 Aug 2016 15:44:10 +0200","46,642","24,524","609","52.58%",46642,24524,609,23915,0.525792204450924,0.512735302945843,0.0248328168324906,"Central","Kabwe"
"4","Bwana Mkubwa","Fri, 26 Aug 2016 15:26:39 +0200","54,673","28,940","697","52.93%",54673,28940,697,28243,0.529328919210579,0.516580396173614,0.0240843123704216,"Copperbelt","Ndola"
"5","Bweengwa","Fri, 26 Aug 2016 16:27:36 +0200","28,581","21,728","270","76.02%",28581,21728,270,21458,0.760225324516287,0.750778489206116,0.0124263622974963,"Southern","Monze"
"6","Chadiza","Fri, 26 Aug 2016 15:24:24 +0200","39,007","21,878","1,014","56.09%",39007,21878,1014,20864,0.560873689337811,0.534878355167021,0.0463479294268215,"Eastern","Chadiza"
"7","Chama North","Fri, 26 Aug 2016 14:56:43 +0200","28,802","17,092","456","59.34%",28802,17092,456,16636,0.593431011735296,0.577598777862648,0.0266791481394805,"Muchinga","Chama"
"8","Chama South","Fri, 26 Aug 2016 14:58:59 +0200","24,048","14,449","586","60.08%",24048,14449,586,13863,0.60083998669328,0.576472055888224,0.0405564398920341,"Muchinga","Chama"
"9","Chasefu","Fri, 26 Aug 2016 15:19:50 +0200","49,188","22,658","647","46.06%",49188,22658,647,22011,0.460640806700821,0.447487191998048,0.0285550357489628,"Eastern","Lundazi"
"10","Chavuma","Fri, 26 Aug 2016 16:01:03 +0200","21,004","13,810","259","65.75%",21004,13810,259,13551,0.657493810702723,0.645162826128357,0.0187545257060101,"North-Western","Chavuma"
"11","Chawama","Fri, 26 Aug 2016 15:06:30 +0200","97,608","55,318","1,003","56.67%",97608,55318,1003,54315,0.566736333087452,0.556460536021638,0.0181315304240934,"Lusaka","Lusaka"
"12","Chembe","Fri, 26 Aug 2016 14:37:41 +0200","14,166","5,993","244","42.31%",14166,5993,244,5749,0.423055202597769,0.40583086262883,0.0407141665276156,"Luapula","Chembe"
"13","Chienge","Fri, 26 Aug 2016 14:35:27 +0200","56,559","20,431","815","36.12%",56559,20431,815,19616,0.361233402287876,0.346823670856981,0.0398903626841564,"Luapula","Chienge"
"14","Chifubu","Fri, 26 Aug 2016 15:27:39 +0200","51,824","29,367","474","56.67%",51824,29367,474,28893,0.566667953071936,0.557521611608521,0.0161405659413628,"Copperbelt","Ndola"
"15","Chifunabuli","Fri, 26 Aug 2016 14:48:45 +0200","39,429","21,863","799","55.45%",39429,21863,799,21064,0.554490349742575,0.534226077252783,0.0365457622467182,"Luapula","Samfya"
"16","Chikankata","Fri, 26 Aug 2016 16:23:49 +0200","37,601","26,389","540","70.18%",37601,26389,540,25849,0.7018164410521,0.687455120874445,0.0204630717344348,"Southern","Chikankata"
"17","Chilanga","Fri, 26 Aug 2016 14:52:13 +0200","49,614","27,417","732","55.26%",49614,27417,732,26685,0.552606119240537,0.537852219131697,0.0266987635408688,"Lusaka","Chilanga"
"18","Chililabombwe","Fri, 26 Aug 2016 15:39:42 +0200","51,451","27,880","478","54.19%",51451,27880,478,27402,0.541874793492838,0.53258440069192,0.0171449067431851,"Copperbelt","Chililabombwe"
"19","Chilubi","Fri, 26 Aug 2016 16:09:47 +0200","46,677","25,192","661","53.97%",46677,25192,661,24531,0.53970906442145,0.525547914390385,0.0262384884090187,"Northern","Chilubi"
"20","Chimbamilonga","Fri, 26 Aug 2016 15:59:58 +0200","26,993","15,839","326","58.68%",26993,15839,326,15513,0.586781758233616,0.574704553032268,0.0205821074562788,"Northern","Nsama"
"21","Chimwemwe","Fri, 26 Aug 2016 15:36:22 +0200","58,325","32,295","875","55.37%",58325,32295,875,31420,0.553707672524646,0.538705529361337,0.0270939773958817,"Copperbelt","Kitwe"
"22","Chingola","Fri, 26 Aug 2016 15:38:58 +0200","69,165","36,938","837","53.41%",69165,36938,837,36101,0.534056242319092,0.521954745897491,0.022659591748335,"Copperbelt","Chingola"
"23","Chinsali","Fri, 26 Aug 2016 14:56:40 +0200","44,597","26,344","685","59.07%",44597,26344,685,25659,0.590712379756486,0.575352602192973,0.0260021257212268,"Muchinga","Chinsali"
"24","Chipangali","Fri, 26 Aug 2016 15:24:22 +0200","53,801","24,202","808","44.98%",53801,24202,808,23394,0.44984293972231,0.434824631512425,0.0333856706057351,"Eastern","Chipata"
"25","Chipata Central","Fri, 26 Aug 2016 15:24:21 +0200","65,781","33,796","966","51.38%",65781,33796,966,32830,0.51376537298004,0.499080281540262,0.0285832642916321,"Eastern","Chipata"
"26","Chipili","Fri, 26 Aug 2016 14:35:20 +0200","18,298","12,679","232","69.29%",18298,12679,232,12447,0.6929172587168,0.680238277407367,0.0182979730262639,"Luapula","Chipili"
"27","Chirundu","Fri, 26 Aug 2016 15:06:39 +0200","26,312","19,156","331","72.8%",26312,19156,331,18825,0.728032836728489,0.715453025235634,0.0172791814575068,"Lusaka","Chirundu"
"28","Chisamba","Fri, 26 Aug 2016 15:45:07 +0200","46,698","22,839","710","48.91%",46698,22839,710,22129,0.489078761403058,0.473874684140648,0.0310871754455099,"Central","Chisamba"
"29","Chitambo","Fri, 26 Aug 2016 15:46:20 +0200","23,833","10,833","296","45.45%",23833,10833,296,10537,0.454537825703856,0.442118071581421,0.0273239176590049,"Central","Chitambo"
"30","Choma Central","Fri, 26 Aug 2016 16:23:48 +0200","73,705","53,337","1,010","72.37%",73705,53337,1010,52327,0.723655111593515,0.709951835017977,0.0189361981363781,"Southern","Choma"
"31","Chongwe","Fri, 26 Aug 2016 15:08:59 +0200","71,095","36,791","1,129","51.75%",71095,36791,1129,35662,0.517490681482523,0.501610521133694,0.030686852762904,"Lusaka","Chongwe"
"32","Dundumwezi","Fri, 26 Aug 2016 16:21:36 +0200","40,155","31,534","680","78.53%",40155,31534,680,30854,0.785306935624455,0.768372556344166,0.0215640261305258,"Southern","Kalomo"
"33","Feira","Fri, 26 Aug 2016 15:06:31 +0200","13,227","8,412","179","63.6%",13227,8412,179,8233,0.635971875708777,0.622438950631285,0.0212791250594389,"Lusaka","Luangwa"
"34","Gwembe","Fri, 26 Aug 2016 16:21:36 +0200","28,260","21,995","395","77.83%",28260,21995,395,21600,0.77830856334041,0.764331210191083,0.0179586269606729,"Southern","Gwembe"
"35","Ikeleng'i","Fri, 26 Aug 2016 15:59:53 +0200","19,423","13,560","265","69.81%",19423,13560,265,13295,0.698141378777738,0.68449776038717,0.0195427728613569,"North-Western","Ikelenge"
"36","Isoka","Fri, 26 Aug 2016 14:57:58 +0200","33,670","19,486","398","57.87%",33670,19486,398,19088,0.578734778734779,0.566914166914167,0.0204249204557118,"Muchinga","Isoka"
"37","Itezhitezhi","Fri, 26 Aug 2016 15:45:00 +0200","39,563","26,238","557","66.32%",39563,26238,557,25681,0.66319540985264,0.649116598842353,0.021228752191478,"Central","Itezhitezhi"
"38","Kabompo","Fri, 26 Aug 2016 15:58:32 +0200","22,498","14,281","273","63.48%",22498,14281,273,14008,0.63476753489199,0.622633122944262,0.019116308381766,"North-Western","Kabompo"
