"","constit","election_type","year","party","candidate","pct_cast","won"
"1","Bahati","parliamentary",2016,"Patriotic Front","Harry Kalaba",0.800511170845635,1
"2","Bahati","parliamentary",2016,"United Party for National Development","Makuwa A Lusaka",0.178733530163487,0
"3","Bangweulu","parliamentary",2016,"Patriotic Front","Anthony Kasandwe",0.614763667900864,1
"4","Bangweulu","parliamentary",2016,"FDD","Sally M Shabani",0.246405817405517,0
"5","Bangweulu","parliamentary",2016,"United Party for National Development","Prudence M Chinama",0.0680476333433403,0
"6","Bangweulu","parliamentary",2016,"Independent","Joseph C Kasongo",0.0292204543180226,0
"7","Bangweulu","parliamentary",2016,"Rainbow Party","Robby Mwansa",0.00760532372660863,0
"8","Bwacha","parliamentary",2016,"Patriotic Front","Sydney Mushanga",0.597007013537759,1
"9","Bwacha","parliamentary",2016,"United Party for National Development","Saidi Chibwana",0.330859566139292,0
"10","Bwacha","parliamentary",2016,"FDD","Webster Chileshe",0.0279725982710814,0
"11","Bwacha","parliamentary",2016,"Movement for Multi-Party Democracy","Boniface Chimoto",0.0193280052193769,0
"12","Bwana Mkubwa","parliamentary",2016,"Patriotic Front","Jonas K Chanda",0.673047684865238,1
"13","Bwana Mkubwa","parliamentary",2016,"United Party for National Development","Bryan P Sikalubya",0.268762957843815,0
"14","Bwana Mkubwa","parliamentary",2016,"FDD","Deborah Tsenzi",0.0174844505874223,0
"15","Bwana Mkubwa","parliamentary",2016,"Rainbow Party","Richard On Kangwa",0.016620594333103,0
"16","Bweengwa","parliamentary",2016,"United Party for National Development","Kasauta S Michelo",0.945692194403535,1
"17","Bweengwa","parliamentary",2016,"Patriotic Front","Jocelyn Cm Mweempwa",0.0418814432989691,0
"18","Chadiza","parliamentary",2016,"Patriotic Front","Salatiel Tembo",0.46329646219947,1
"19","Chadiza","parliamentary",2016,"Movement for Multi-Party Democracy","Allan Mbewe",0.21601608922205,0
"20","Chadiza","parliamentary",2016,"United Party for National Development","Samson Thole",0.151933449126977,0
"21","Chadiza","parliamentary",2016,"Independent","Yamikani N Phiri",0.0748240241338331,0
"22","Chadiza","parliamentary",2016,"Independent","Ziwani Banda",0.0331383124600055,0
"23","Chadiza","parliamentary",2016,"FDD","Asarf Daka",0.0144437334308438,0
"24","Chama North","parliamentary",2016,"Patriotic Front","Darious Mumba",0.766440439971917,1
"25","Chama North","parliamentary",2016,"United Party for National Development","Todd S Chilembo",0.12456119822139,0
"26","Chama North","parliamentary",2016,"FDD","Yotam Mtayachalo",0.065878773695296,0
"27","Chama North","parliamentary",2016,"UDF","Glory Kaluba",0.0164404399719167,0
"28","Chama South","parliamentary",2016,"Patriotic Front","Davison Mung'andu",0.602117793618936,1
"29","Chama South","parliamentary",2016,"Independent","Elijah D Mvula",0.187625441207004,0
"30","Chama South","parliamentary",2016,"Movement for Multi-Party Democracy","Julius H.m Chibanga",0.0669250467160357,0
"31","Chama South","parliamentary",2016,"United Party for National Development","Abiad Z Nkhowani",0.0541906014257042,0
"32","Chama South","parliamentary",2016,"FDD","Allan Ng'uni",0.0205550557131981,0
"33","Chama South","parliamentary",2016,"UDF","Patrick K Goma",0.0197937573534501,0
"34","Chama South","parliamentary",2016,"Independent","Elizabeth L P Nkhowani",0.00823586407363831,0
"35","Chasefu","parliamentary",2016,"Patriotic Front","Gerald G Zimba",0.653235060464295,1
"36","Chasefu","parliamentary",2016,"FDD","Chifumu Kb Banda",0.182143172389443,0
"37","Chasefu","parliamentary",2016,"United Party for National Development","Japhet Msimuko",0.079221467031512,0
"38","Chasefu","parliamentary",2016,"Movement for Multi-Party Democracy","Davies Lc Ngwenya",0.0568452643657869,0
"39","Chavuma","parliamentary",2016,"United Party for National Development","Victor Lumayi",0.415278783490224,1
"40","Chavuma","parliamentary",2016,"Independent","Fredrick Fwoloshi",0.323823316437364,0
"41","Chavuma","parliamentary",2016,"Patriotic Front","Rose Salukatula",0.123968139029689,0
"42","Chavuma","parliamentary",2016,"Independent","Martin L Sondoyi",0.0873280231716148,0
"43","Chavuma","parliamentary",2016,"Independent","Grace Njapau",0.0254887762490949,0
"44","Chavuma","parliamentary",2016,"FDD","Nichoulas Chitanda",0.0053584359160029,0
"45","Chawama","parliamentary",2016,"Patriotic Front","Lawrence J Sichalwe",0.653638960193789,1
"46","Chawama","parliamentary",2016,"United Party for National Development","Potipher Tembo",0.290863733323692,0
"47","Chawama","parliamentary",2016,"FDD","Morgan Muunda",0.0294298420044109,0
"48","Chawama","parliamentary",2016,"UNIP","Bywel M Kaluba",0.00793593405401497,0
"49","Chembe","parliamentary",2016,"Patriotic Front","Sebastian C Kopulande",0.485399632905056,1
"50","Chembe","parliamentary",2016,"Independent","Mathews B Songwe",0.369097280160187,0
"51","Chembe","parliamentary",2016,"United Party for National Development","Charles M Kaisala",0.104788920407142,0
