party_name,year,total,cast_total,pct_valid,pct,pct_lab,color
Patriotic Front,2016,1860877,3781505,0.5035235448668862,0.49209957411136573,49%,#1f77b4
UPND,2016,1760347,3781505,0.4763217352010845,0.46551492064667377,47%,#ff7f0e
MMD,2006,1177846,2786657,0.429842878820281,0.4226734757811959,42%,#17becf
Patriotic Front,2011,1170966,2772264,0.42815209164402745,0.4223861796712001,42%,#1f77b4
MMD,2011,987866,2772264,0.3612033946024213,0.35633907881789034,36%,#17becf
Patriotic Front,2015,807925,1671662,0.48836430523426433,0.48330643395614664,48%,#1f77b4
Patriotic Front,2006,804748,2786657,0.2936845708563458,0.2887861692343191,29%,#1f77b4
UPND,2015,780168,1671662,0.4715861042621599,0.4667020007633122,47%,#ff7f0e
MMD,2008,718359,1791806,0.4062633963160484,0.4009133801315544,40%,#17becf
UPND,2006,693772,2786657,0.25318501206855903,0.24896210764367485,25%,#ff7f0e
Patriotic Front,2008,683150,1791806,0.3863511686960259,0.38126337337859123,38%,#1f77b4
UPND,2011,506763,2772264,0.18529285941504903,0.18279752577676586,18%,#ff7f0e
UPND,2008,353018,1791806,0.19964710074029668,0.19701798074121862,20%,#ff7f0e
other,2016,74486,3781505,0.0201547199320293,0.019697448502646434,2%,NA
other,2011,69335,2772264,0.025351654338502266,0.025010244334594395,3%,NA
other,2006,63812,2786657,0.023287538254814104,0.02289912249695603,2%,NA
other,2015,51647,1671662,0.031218926598921993,0.030895599708553524,3%,NA
MMD,2015,14609,1671662,0.008830663904653735,0.008739206849231483,1%,#17becf
other,2008,13683,1791806,0.0077383342476289585,0.007636429390235327,1%,NA
