"","province","district","constituency","year","party","candidate","first_name","middle_name","last_name","won","pct_margin","election"
"1","Luapula","Mansa","Bahati",2006,"PF"," Besa Chimbaka","","Besa","Chimbaka",1,0.24156254488008,"assembly"
"2","Eastern","Chama","Chama South",2006,"APC"," Chozi Ng‰ÛªUni","","Chozi","Ng‰ÛªUni",0,0.0526315789473684,"assembly"
"3","Copperbelt","Kitwe","Chimwemwe",2006,"UPND, FDD, UNIP (UDA)"," Jackson Kunda","","Jackson","Kunda",0,0.0621927762342381,"assembly"
"4","Eastern","Chipata","Chipangali",2006,"Independent"," James Mwanza","","James","Mwanza",0,0.0245325947175783,"assembly"
"5","Eastern","Chadiza","Chadiza",2006,"UPND, FDD, UNIP (UDA)"," Salatiel Tembo","","Salatiel","Tembo",0,0.0688431511710433,"assembly"
"6","Southern","Namwala","Namwala",2011,"PF","Aaron  Mwiinga","Aaron","","Mwiinga",0,0.412411626080126,"assembly"
"7","Copperbelt","Ndola","Chifubu",2016,"FDD","Aaron C Kaona","Aaron","C","Kaona",0,0.201709756688471,"assembly"
"8","Southern","Choma","Mbabala",2011,"PF","Aaron M Mwanamukuku","Aaron","M","Mwanamukuku",0,0.261163277713977,"assembly"
"9","North-Western","Solwezi","Solwezi Central",2006,"NDF","Abel Kasema","Abel",NA,"Kasema",0,0.198766154816049,"assembly"
"10","Luapula","Chienge","Chienge",2016,"PF","Abel Musonda","Abel",NA,"Musonda",0,0.0327793637846656,"assembly"
"11","Eastern","Petauke","Petauke",2016,"FDD","Abel Phiri","Abel",NA,"Phiri",0,0.371556217423678,"assembly"
"12","North-Western","Mwinilunga","Mwinilunga",2011,"PF","Abel B Kazika","Abel","B","Kazika",0,0.111926738861836,"assembly"
"13","Muchinga","Chama","Chama South",2016,"UPND","Abiad Z Nkhowani","Abiad","Z","Nkhowani",0,0.432013272740388,"assembly"
"14","Eastern","Chama","Chama South",2011,"UPND","Abiad Z Nkhowani","Abiad","Z","Nkhowani",0,0.0354320884970474,"assembly"
"15","North-Western","Ikelenge","Ikeleng'i",2016,"PF","Abiud Kawangu","Abiud",NA,"Kawangu",0,0.636780744640842,"assembly"
"16","Northern","Nakonde","Nakonde",2006,"PF","Able Sichula","Able",NA,"Sichula",0,0.359735615993065,"assembly"
"17","Northern","Mporokoso","Mporokoso",2006,"PF","Abraham Makumba","Abraham",NA,"Makumba",0,0.173350431335976,"assembly"
"18","Northern","Mporokoso","Mporokoso",2011,"UPND","Abraham  Makumba","Abraham","","Makumba",0,0.0638142256353995,"assembly"
"19","Southern","Choma","Choma Central",2016,"IND","Ackim Musiya","Ackim",NA,"Musiya",0,0.765321917939114,"assembly"
"20","Central","Serenje","Serenje",2006,"MMD","Ackimson Banda","Ackimson",NA,"Banda",1,0.387281071462021,"assembly"
