"","shp2015","constituency","website2015"
"1","Mfuwe","Mfuwe","Mfuwe"
"2","Kawambwa","Kawambwa","Kawambwa"
"3","Chifunabuli","Chifunabuli","Chifunabuli"
"4","Bweengwa","Bweengwa","Bweengwa"
"5","Namwala","Namwala","Namwala"
"6","Sesheke Central","Sesheke Central",NA
"7","Mwandi","Mwandi","Mwandi"
"8","Mulobezi","Mulobezi","Mulobezi"
"9","Sinjembela","Sinjembela","Sinjembela"
"10","Senanga Central","Senanga Central",NA
"11","Nalolo","Nalolo","Nalolo"
"12","Luampa","Luampa","Luampa"
"13","Kaoma Central","Kaoma Central","Kaoma Central"
"14","Bangweulu","Bangweulu","Bangweulu"
"15","Mangango","Mangango","Mangango"
"16","Nalikwanda","Nalikwanda","Nalikwanda"
"17","Luena","Luena","Luena"
"18","Lukulu East","Lukulu East","Lukulu East"
"19","Mongu Central","Mongu Central","Mongu Central"
"20","Lukulu West","Lukulu West","Lukulu West"
"21","Liuwa","Liuwa","Liuwa"
"22","Kalabo Central","Kalabo Central","Kalabo Central"
"23","Chavuma","Chavuma","Chavuma"
"24","Zambezi West","Zambezi West","Zambezi West"
"25","Chembe","Chembe","Chembe"
"26","Zambezi East","Zambezi East","Zambezi East"
"27","Kabompo West","Kabompo West","Kabompo West"
"28","Kabompo East","Kabompo East","Kabompo East"
"29","Mufumbwe","Mufumbwe","Mufumbwe"
"30","Kasempa","Kasempa","Kasempa"
"31","Mwinilunga West","Mwinilunga West",NA
"32","Mwinilunga East","Mwinilunga East",NA
"33","Solwezi Central","Solwezi Central","Solwezi Central"
"34","Solwezi East","Solwezi East","Solwezi East"
"35","Mpongwe","Mpongwe","Mpongwe"
"36","Mansa Central","Mansa Central","Mansa Central"
"37","Masaiti","Masaiti","Masaiti"
"38","Kafulafuta","Kafulafuta","Kafulafuta"
"39","Chililabombwe","Chililabombwe","Chililabombwe"
"40","Chingola","Chingola","Chingola"
"41","Nchanga","Nchanga","Nchanga"
"42","Kalulushi","Kalulushi","Kalulushi"
"43","Kankoyo","Kankoyo","Kankoyo"
"44","Kantanshi","Kantanshi","Kantanshi"
"45","Chimwemwe","Chimwemwe","Chimwemwe"
"46","Wusakile","Wusakile","Wusakile"
"47","Bahati","Bahati","Bahati"
"48","Mufulira","Mufulira","Mufulira"
"49","Kamfinsa","Kamfinsa","Kamfinsa"
"50","Kwacha","Kwacha","Kwacha"
"51","Nkana","Nkana","Nkana"
"52","Roan","Roan","Roan"
"53","Luanshya","Luanshya","Luanshya"
"54","Bwanamkubwa","Bwanamkubwa",NA
"55","Ndola Central","Ndola Central","Ndola Central"
"56","Kabushi","Kabushi","Kabushi"
"57","Chifubu","Chifubu","Chifubu"
"58","Mambilima","Mambilima","Mambilima"
"59","Mwense","Mwense","Mwense"
"60","Chipili","Chipili","Chipili"
"61","Pambashe","Pambashe","Pambashe"
"62","Mwansabombwe","Mwansabombwe","Mwansabombwe"
"63","Nyimba","Nyimba","Nyimba"
"64","Chiengi","Chiengi",NA
"65","Nchelenge","Nchelenge","Nchelenge"
"66","Isoka East","Isoka East",NA
"67","Isoka West","Isoka West",NA
"68","Nakonde","Nakonde","Nakonde"
"69","Mbala","Mbala","Mbala"
"70","Mpulungu","Mpulungu","Mpulungu"
"71","Kaputa","Kaputa","Kaputa"
"72","Chimbamilonga","Chimbamilonga","Chimbamilonga"
"73","Mporokoso","Mporokoso","Mporokoso"
"74","Solwezi West","Solwezi West","Solwezi West"
"75","Senga Hill","Senga Hill","Senga Hill"
"76","Lunte","Lunte","Lunte"
"77","Lupososhi","Lupososhi","Lupososhi"
"78","Malole","Malole","Malole"
"79","Chinsali","Chinsali","Chinsali"
"80","Kasama Central","Kasama Central","Kasama Central"
"81","Chilubi","Chilubi","Chilubi"
"82","Lubansenshi","Lubansenshi","Lubansenshi"
"83","Lukashya","Lukashya","Lukashya"
"84","Shiwang’Andu","Shiwang’Andu",NA
"85","Kapiri Mposhi","Kapiri Mposhi","Kapiri Mposhi"
"86","Kanchibiya","Kanchibiya","Kanchibiya"
"87","Mpika Central","Mpika Central",NA
"88","Chama North","Chama North","Chama North"
"89","Chama South","Chama South","Chama South"
"90","Chasefu","Chasefu","Chasefu"
"91","Lundazi","Lundazi","Lundazi"
"92","Lumezi","Lumezi","Lumezi"
"93","Chipangali","Chipangali","Chipangali"
"94","Malambo","Malambo","Malambo"
"95","Chipata Central","Chipata Central","Chipata Central"
"96","Lufwanyama","Lufwanyama","Lufwanyama"
"97","Luangeni","Luangeni","Luangeni"
"98","Vubwi","Vubwi","Vubwi"
"99","Chadiza","Chadiza","Chadiza"
"100","Milanzi","Milanzi","Milanzi"
"101","Kasenengwa","Kasenengwa","Kasenengwa"
"102","Mkaika","Mkaika","Mkaika"
"103","Msanzala","Msanzala","Msanzala"
"104","Sinda","Sinda","Sinda"
"105","Kapoche","Kapoche","Kapoche"
"106","Petauke","Petauke","Petauke"
"107","Sikongo","Sikongo","Sikongo"
"108","Chitambo","Chitambo","Chitambo"
"109","Muchinga","Muchinga","Muchinga"
"110","Serenje Central","Serenje Central",NA
"111","Mkushi North","Mkushi North","Mkushi North"
"112","Mkushi South","Mkushi South","Mkushi South"
"113","Chisamba","Chisamba","Chisamba"
"114","Kabwe Central","Kabwe Central","Kabwe Central"
"115","Bwacha","Bwacha","Bwacha"
"116","Mumbwa","Mumbwa","Mumbwa"
"117","Mwembezhi","Mwembezhi","Mwembezhi"
"118","Kafue","Kafue","Kafue"
"119","Nangoma","Nangoma","Nangoma"
"120","Katuba","Katuba","Katuba"
"121","Keembe","Keembe","Keembe"
"122","Feira","Feira","Feira"
"123","Rufunsa","Rufunsa","Rufunsa"
"124","Chongwe","Chongwe","Chongwe"
"125","Chilanga","Chilanga","Chilanga"
"126","Mandevu","Mandevu","Mandevu"
"127","Matero","Matero","Matero"
"128","Kanyama","Kanyama","Kanyama"
"129","Itezhi-Tezhi","Itezhi-Tezhi",NA
"130","Chawama","Chawama","Chawama"
"131","Munali","Munali","Munali"
"132","Kabwata","Kabwata","Kabwata"
"133","Lusaka Central","Lusaka Central","Lusaka Central"
"134","Siavonga","Siavonga","Siavonga"
"135","Gwembe","Gwembe","Gwembe"
"136","Chikankata","Chikankata","Chikankata"
"137","Mazabuka Central","Mazabuka Central","Mazabuka Central"
"138","Magoye","Magoye","Magoye"
"139","Moomba","Moomba","Moomba"
"140","Luapula","Luapula","Luapula"
"141","Monze Central","Monze Central","Monze Central"
"142","Pemba","Pemba","Pemba"
"143","Sinazongwe","Sinazongwe","Sinazongwe"
"144","Choma Central","Choma Central","Choma Central"
"145","Mapatizya","Mapatizya","Mapatizya"
"146","Kalomo Central","Kalomo Central","Kalomo Central"
"147","Livingstone","Livingstone","Livingstone"
"148","Katombola","Katombola","Katombola"
"149","Dundumwezi","Dundumwezi","Dundumwezi"
"150","Mbabala","Mbabala","Mbabala"
"151",NA,"Bwana Mkubwa","Bwana Mkubwa"
"152",NA,"Chienge","Chienge"
"153",NA,"Ikeleng'i","Ikeleng'i"
"154",NA,"Isoka","Isoka"
"155",NA,"Itezhitezhi","Itezhitezhi"
"156",NA,"Mafinga","Mafinga"
"157",NA,"Mpika","Mpika"
"158",NA,"Mwinilunga","Mwinilunga"
"159",NA,"Senanga","Senanga"
"160",NA,"Serenje","Serenje"
"161",NA,"Sesheke","Sesheke"
"162",NA,"Shiwan'gandu","Shiwan'gandu"
