"","shp2015","constituency","website2015","shp2016","province","district","website2016","merge_flag"
"1","Mfuwe","Mfuwe","Mfuwe","Mfuwe","Muchinga","Mpika","Mfuwe",0
"2","Kawambwa","Kawambwa","Kawambwa","Kawambwa","Luapula","Kawambwa","Kawambwa",0
"3","Chifunabuli","Chifunabuli","Chifunabuli","Chifunabuli","Luapula","Samfya","Chifunabuli",0
"4","Bweengwa","Bweengwa","Bweengwa","Bweengwa","Southern","Monze","Bweengwa",0
"5","Namwala","Namwala","Namwala","Namwala","Southern","Namwala","Namwala",0
"6","Sesheke Central","Sesheke Central",NA,NA,NA,NA,NA,1
"7","Mwandi","Mwandi","Mwandi","Mwandi","Western","Mwandi","Mwandi",0
"8","Mulobezi","Mulobezi","Mulobezi","Mulobezi","Western","Mulobezi","Mulobezi",0
"9","Sinjembela","Sinjembela","Sinjembela",NA,NA,NA,NA,1
"10","Senanga Central","Senanga Central",NA,NA,NA,NA,NA,1
"11","Nalolo","Nalolo","Nalolo","Nalolo","Western","Nalolo","Nalolo",0
"12","Luampa","Luampa","Luampa","Luampa","Western","Luampa","Luampa",0
"13","Kaoma Central","Kaoma Central","Kaoma Central","Kaoma Central","Western","Kaoma","Kaoma Central",0
"14","Bangweulu","Bangweulu","Bangweulu","Bangweulu","Luapula","Samfya","Bangweulu",0
"15","Mangango","Mangango","Mangango","Mangango","Western","Kaoma","Mangango",0
"16","Nalikwanda","Nalikwanda","Nalikwanda","Nalikwanda","Western","Mongu","Nalikwanda",0
"17","Luena","Luena","Luena","Luena","Western","Limulunga","Luena",0
"18","Lukulu East","Lukulu East","Lukulu East","Lukulu East","Western","Lukulu","Lukulu East",0
"19","Mongu Central","Mongu Central","Mongu Central","Mongu Central","Western","Mongu","Mongu Central",0
"20","Lukulu West","Lukulu West","Lukulu West","Lukulu West",NA,NA,NA,1
"21","Liuwa","Liuwa","Liuwa","Liuwa","Western","Kalabo","Liuwa",0
"22","Kalabo Central","Kalabo Central","Kalabo Central","Kalabo Central","Western","Kalabo","Kalabo Central",0
"23","Chavuma","Chavuma","Chavuma","Chavuma","North-Western","Chavuma","Chavuma",0
