"","constit","election_type","year","party","candidate","pct_cast","won"
"1","Bahati","parliamentary",2011,"Patriotic Front","Harry  Kalaba",0.73410607657183,1
"2","Bahati","parliamentary",2011,"MMD","Besa E Chimbaka",0.141703045812635,0
"3","Bahati","parliamentary",2011,"ADD","Kingstone  Chabala",0.0875106628531286,0
"4","Bahati","parliamentary",2011,"UNIP","Enorrine  Mwewa",0.0154548647699333,0
"5","Bahati","parliamentary",2011,"FDD","Peggy  Mubanga",0.00436549751618245,0
"6","Bangweulu","parliamentary",2011,"Patriotic Front","Chifita  Matafwali",0.764232448162968,1
"7","Bangweulu","parliamentary",2011,"MMD","Sylvester C Chimfwembe",0.147371771553292,0
"8","Bangweulu","parliamentary",2011,"Independent","Blanco  Muma",0.0649327028010186,0
"9","Bangweulu","parliamentary",2011,"UPND","Catherine  Kabaso",0.0163695889414332,0
"10","Bangweulu","parliamentary",2011,"ZAD","Rosemary  Lufungulo",0.00622953801382321,0
"11","Bangweulu","parliamentary",2011,"ZED","Rosemary  Lufungulo",0.00622953801382321,0
"12","Bwacha","parliamentary",2011,"Patriotic Front","Sydney  Mushanga",0.480957619571481,1
"13","Bwacha","parliamentary",2011,"MMD","Godfrey  Pende",0.343705799151344,0
"14","Bwacha","parliamentary",2011,"UPND","Roger  Ziba",0.0773744041070774,0
"15","Bwacha","parliamentary",2011,"Independent","Beck  Banda",0.038975326104039,0
"16","Bwacha","parliamentary",2011,"Independent","Webster  Chileshe",0.0292838807690293,0
"17","Bwacha","parliamentary",2011,"ADD","Fredrick  Mulando",0.0144585887160145,0
"18","Bwacha","parliamentary",2011,"FDD","Innocent  Chanda",0.00832940436900833,0
"19","Bwacha","parliamentary",2011,"ZAD","Dorothy  Katongo",0.00691497721200691,0
"20","Bwacha","parliamentary",2011,"ZED","Dorothy  Katongo",0.00691497721200691,0
"21","Bwana Mkubwa","parliamentary",2011,"Patriotic Front","Emmanuel  Chenda",0.692060430729669,1
"22","Bwana Mkubwa","parliamentary",2011,"MMD","Kelvin  Chaumwe",0.243651558984249,0
