"","constit","election_type","year","turnout","pct_rejected"
"1","Chisamba","parliamentary",2011,0.404337662337662,0.00475364553221558
"2","Katuba","parliamentary",2011,0.493339791717123,0.00525983589312013
"3","Keembe","parliamentary",2011,0.454655770652813,0.0032528462404604
"4","Bwacha","parliamentary",2011,0.503149793088906,0
"5","Kabwe Central","parliamentary",2011,0.532013924199163,0.0110277900308778
"6","Kapiri Mposhi","parliamentary",2011,0.41039982935558,0.0288750288750289
"7","Mkushi North","parliamentary",2011,0.443464060894988,0.0305873968046564
"8","Mkushi South","parliamentary",2011,0.48323301805675,0.0019411193788418
"9","Mwembezhi","parliamentary",2011,0.518415710320255,0.00399584432190522
"10","Mumbwa","parliamentary",2011,0.475300400534045,0.0207734517899138
"11","Nangoma","parliamentary",2011,0.472607312571182,0.00448728602293502
"12","Chitambo","parliamentary",2011,0.466527409822702,0.0323249972698482
"13","Muchinga","parliamentary",2011,0.493435858964741,0.0247054351957431
"14","Serenje","parliamentary",2011,0.449132004550176,0.0240061667217267
"15","Chililabombwe","parliamentary",2011,1.00784608037115,0.00963534615037458
"16","Chingola","parliamentary",2011,0.594413665743306,0.0157430918595967
"17","Nchanga","parliamentary",2011,0.649427692307692,0.0103096691051056
"18","Kalulushi","parliamentary",2011,0.607202505219207,0.0177067216778408
"19","Chimwemwe","parliamentary",2011,0.631128886139161,0.00490144592654833
"20","Kamfinsa","parliamentary",2011,0.598939135125416,0.00365255678975283
"21","Kwacha","parliamentary",2011,0.603120857071196,0.012386751819397
"22","Nkana","parliamentary",2011,0.642221312733412,0.0111522682917115
"23","Wusakile","parliamentary",2011,0.647345612134344,0.00382546323968918
"24","Luanshya","parliamentary",2011,0.573065513258905,0.0135540978424089
"25","Roan","parliamentary",2011,0.645439195010166,0.0119060331019754
"26","Kankoyo","parliamentary",2011,0.620708076344034,0.000860652531100853
"27","Kantanshi","parliamentary",2011,0.630356676247714,0.00139903621949324
"28","Mufulira","parliamentary",2011,0.592674174867659,5.99448507373217e-05
"29","Kafulafuta","parliamentary",2011,0.518940767995025,0.0042939884162173
