col1,col2,col3,col4,col5,col6,col7,col8,col9,col10
CENTRAL,CHIBOMBO,001 Chisamba,MUTETEKA Moses,MMD,"12,612",,,,
,,,MATONGO Lucky,"UPND, FDD, UNIP (UDA)","6,931",,,,
,,,MILAMBO Moses,PF,"1,607",,,,
,,,LUBASI Irene W.,Independent,"1,437",,,,
,,,,,"22,587",717,"23,304","33,263",
,,,,,,,,,
,,002 Katuba,SHAKAFUSWA Jonas,MMD,"8,804",,,,
,,,MWANJA Owen H.,Independent,"3,441",,,,
,,,MULOWA Peter,"UPND, FDD, UNIP (UDA)","3,096",,,,
,,,MWITTAH Andrew,PF,"1,109",,,,
,,,,,"16,450",305,"16,755","22,659",
,,003 Keembe,SHIKAPWASHA Ronald,MMD,"20,084",,,,
,,,LUPENGA Allan F.,"UPND, FDD, UNIP (UDA)","7,958",,,,
,,,MWAPE James,PF,"3,223",,,,
,,,,,"31,265",992,"32,257","43,206",
,KABWE,004 Bwacha,NYIRONGO Gladys Z.,MMD,"10,777",,,,
,,,MBAO Charles,PF,"7,386",,,,
,,,MTONGA Redson T.,FDD,"2,805",,,,
,,,,,"20,968",0,"20,968","30,302",
,,CONSTITUENCY,CANDIDATE‰ÛªS,,,,TOTAL,TOTAL,
PROVINCE,COUNCIL,NO./NAME,,PARTY,VOTES,,VOTES,REGISTERED,
,,,,,REC‰ÛªD,REJECTED,CAST,VOTERS,
CENTRAL,KABWE,005 Kabwe Central,KAKUSA Kayula,MMD,"9,680",,,,
,,,CHAMA Davies,PF,"9,509",,,,
,,,KABESHA Mulilo,"UPND, FDD, UNIP (UDA)","9,370",,,,
,,,NKANDU Stewart,Heritage,583,,,,
,,,,,"29,142",405,"29,547","40,598",
,,,,,,,,,
,KAPIRI-MPOSHI,006 Kapiri Mposhi,MALWA Friday P.,MMD,"26,806",,,,
,,,MWILA Smart K.,PF,"8,663",,,,
,,,MALUTI Bishop K.,"UPND, FDD, UNIP (UDA)","8,190",,,,
,,,,,"43,659","1,592","45,251","68,383",
,,,,,,,,,
,MKUSHI,007 Mkushi North,CHANGWE Lucy S.,MMD,"13,263",,,,
,,,MWAPE Webby,Independent,"2,151",,,,
,,,MUMBA Davies,PF,"1,738",,,,
,,,NKONDE Pardon M.,"UPND, FDD, UNIP (UDA)","1,502",,,,
,,,,,"18,654",733,"19,387","29,181",
,,,,,,,,,
,,008 Mkushi South,CHISANGA Sydney,MMD,"5,188",,,,
,,,HAMUNZALA Fines M.,"UPND, FDD, UNIP (UDA)","1,410",,,,
,,,MWAMI Gabriel,PF,371,,,,
,,,KASAMWA Aim N.,Independent,151,,,,
,,,,,"7,120",270,"7,390","9,599",
,,,,,,,,,
,MUMBWA,009 Mwembezhi,KASOKO Edward,"UPND, FDD, UNIP (UDA)","7,016",,,,
,,,CHILIKWELA Crispin,MMD,"4,644",,,,
,,,SHENTON Rolf E.,PF,"1,079",,,,
,,,SHIKABWALI Rueben G.,Independent,792,,,,
,,,,,"13,531",292,"13,823","18,434",
,,,,,,,,,
,,010 Mumbwa,CHITUWO Brian,MMD,"13,806",,,,
,,,MWAKILIMA Alick,"UPND, FDD, UNIP (UDA)","4,968",,,,
,,,SITULA Sikwindi,ULP,560,,,,
,,,SAYILA Alfred K.,FEDEPA,300,,,,
,,,,,"19,634",326,"19,960","24,771",
,,,,,,,,,
,,011 Nangoma,HAMUSONDE Boyd,"UPND, FDD, UNIP (UDA)","9,393",,,,
,,,SHEPANDE Kennedy M.,MMD,"4,046",,,,
,,,,,"13,439",296,"13,735","19,400",
,,,,,,,,,
,SERENJE,012 Chitambo,HAMIR Nasim-UL-Gani A.,MMD,"6,659",,,,
,,,CHOLA Evans C.,NDF,986,,,,
,,,CHIKWELETE Robert,PF,897,,,,
,,,KAPILYA Joseph K.,"UPND, FDD, UNIP (UDA)",282,,,,
,,CONSTITUENCY,CANDIDATE‰ÛªS,,,,TOTAL,TOTAL,
PROVINCE,COUNCIL,NO./NAME,,PARTY,VOTES,,VOTES,REGISTERED,
,,,,,REC‰ÛªD,REJECTED,CAST,VOTERS,
,,,,,,,,,
CENTRAL,SERENJE,013 Muchinga,KUNDA George,MMD,"6,805",,,,
,,,KALUNGA Ackson O.,"UPND, FDD, UNIP   (UDA)","1,369",,,,
,,,YAMBA Fredson K.,PF,476,,,,
,,,NTEMBWA Jeliaty,NDF,442,,,,
,,,,,"9,092",265,"9,357","13,041",
,,,,,,,,,
,,,,,,,,,
,,014 Serenje Central,BANDA Ackimson,MMD,"6,128",,,,
,,,MUSONDA Chunga,PF,"1,993",,,,
,,,MALAMA Jammy C.,Independent,"1,960",,,,
,,,NDHLOVU Benson,"UPND, FDD, UNIP  (UDA)",596,,,,
,,,,,"10,677",503,"11,180","16,406",
,,,,,,,,,
COPPERBELT,CHILILABOMBWE,015 Chililabombwe,BANDA Esther  M.,PF,"11,366",,,,
,,,MULIOKELA Wamundila,MMD,"5,471",,,,
,,,KANSWATA Chiyeni,"UPND, FDD, UNIP  (UDA)","3,258",,,,
,,,PHIRI Edward P.,Independent,552,,,,
,,,KOWA Victor,NDF,358,,,,
,,,TEMBO Cosam,Heritage,290,,,,
,,,,,"21,295",312,"21,607","29,639",
,,,,,,,,,
,CHINGOLA,016 Chingola,KATEMA Joseph Dr.,PF,"12,550",,,,
,,,MUKONKELA Jerry,MMD,"7,382",,,,
,,,MULEMENA Cindy M.,Independent,"3,774",,,,
,,,KALUSA Joe,"UPND, FDD, UNIP (UDA)","3,351",,,,
,,,HODGSON Rodney D.,Independent,"1,964",,,,
,,,KAZIMBAYA Bertha,Heritage,"1,219",,,,
,,,,,"30,240",357,"30,597","40,244",
,,,,,,,,,
,,017 Nchanga,CHIMUMBWA Charles,PF,"14,831",,,,
,,,KAZALA Richard L.,MMD,"4,624",,,,
,,,SIMWINGA Alvin V.,"UPND, FDD, UNIP (UDA)","1,865",,,,
,,,KACHAMBA Gineton,Independent,678,,,,
,,,MBEWE Charles N.,Heritage,666,,,,
,,,,,"22,664",297,"22,961","29,448",
,,,CONSTITUENCY,CANDIDATE‰ÛªS,,,,TOTAL,TOTAL
,PROVINCE,COUNCIL,NO./NAME,,PARTY,VOTES,,VOTES,REGISTERED
,,,,,,REC‰ÛªD,REJECTED,CAST,VOTERS
,,,,,,,,,
,,KALULUSHI,018 Kalulushi,SIMAMA Anson,PF,"15,011",,,
,,,,MWILA Anthony,MMD,"9,393",,,
,,,,BANDA Elijah,"UPND, FDD, UNIP (UDA)","1,889",,,
,,,,MWAPE Diana,Heritage,717,,,
,,,,NGONGA Charles,Independent,211,,,
,,,,,,"27,221",530,"27,751","36,275"
,,,,,,,,,
,,KITWE,019 Chimwemwe,NSANDA Willie,PF,"8,852",,,
,,,,LUNGU George,MMD,"7,397",,,
,,,,MUNGALABA Ackson,Heritage,"6,324",,,
,,,,KUNDA  Jackson  K.,"UPND, FDD, UNIP (UDA)",822,,,
,,,,,,"23,395",454,"23,849","31,052"
,,,,,,,,,
,,,020 Kamfinsa,NYIRENDA Michael A.,PF,"7,638",,,
,,,,CHIPILI Webby,MMD,"6,125",,,
,,,,MWANJISI Lemmy A.,Independent,"1,943",,,
