prov,council,cons,candid,party,votes,pct_cast,pct_registered,rejected,pct_rejected,cast,registered,turnout
CENTRAL,CHIBOMBO,001 Chisamba,MWANAWASA Levy,MMD,"12,492",53.71,37.56,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","7,999",34.39,24.05,,,,,
,,,SATA Michael M.C,PF,"1,800",7.74,5.41,,,,,
,,,MIYANDA Godfrey K,HP,226,0.97,0.68,,,,,
,,,NGONDO Winright K,APC,90,0.39,0.27,,,,,
,,,,,"22,607",97.2,67.96,651,2.8,"23,258","33,263",69.92
,,,,,,,,,,,,
,,002 Katuba,MWANAWASA Levy,MMD,"10,509",61.95,46.38,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","4,398",25.93,19.41,,,,,
,,,SATA Michael M.C,PF,"1,525",8.99,6.73,,,,,
,,,MIYANDA Godfrey K,HP,153,0.9,0.68,,,,,
,,,NGONDO Winright K,APC,64,0.38,0.28,,,,,
,,,,,"16,649",98.14,73.48,315,1.86,"16,964","22,659",74.87
,,003 Keembe,MWANAWASA Levy,MMD,"19,432",64.83,44.98,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","8,338",27.82,19.3,,,,,
,,,SATA Michael M.C,PF,909,3.03,2.1,,,,,
,,,MIYANDA Godfrey K,HP,285,0.95,0.66,,,,,
,,,NGONDO Winright K,APC,137,0.46,0.32,,,,,
,,,,,"29,101",97.08,67.35,874,2.92,"29,975","43,206",69.38
,KABWE,004 Bwacha,MWANAWASA Levy,MMD,"10,509",50,34.68,,,,,
,,,SATA Michael M.C,PF,"7,522",35.79,24.82,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","2,715",12.92,8.96,,,,,
,,,MIYANDA Godfrey K,HP,223,1.06,0.74,,,,,
,,,NGONDO Winright K,APC,47,0.22,0.16,,,,,
,,,,,"21,016",100,69.36,0,0,"21,016","30,302",69.36
CENTRAL,KABWE,005 Kabwe Central,SATA Michael M.C,PF,"12,779",42.79,31.48,,,,,
,,,MWANAWASA Levy,MMD,"11,355",38.02,27.97,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","4,778",16,11.77,,,,,
,,,MIYANDA Godfrey K,HP,502,1.68,1.24,,,,,
,,,NGONDO Winright K,APC,51,0.17,0.13,,,,,
,,,,,"29,465",98.65,72.58,402,1.35,"29,867","40,598",73.57
,KAPIRI-MPOSHI,006 Kapiri Mposhi,MWANAWASA Levy,MMD,"28,870",63.96,42.22,,,,,
