candidate_region,Votes,pct_cast,pct_registered,rejected_ballotpapers,pct_rejected,total_votes,total_registered,pct_poll
00000001 CHISAMBA,,,,,,,,
"MUTETEKA Moses  ,MMD","6,980",44.84%,18.13%,,,,,
"MBOYOMA Joel  ,UPND","6,555",42.11%,17.03%,,,,,
"CHULU Osward  ,PF","1,958",12.58%,5.09%,,,,,
,"15,493",,,74,0.48%,"15,567","38,500",40.43%
00000002 KATUBA,,,,,,,,
"CHIKUSU Patrick  ,MMD","6,389",44.81%,22.10%,,,,,
"SHAKAFUSWA Jonas  ,UPND","3,531",24.76%,12.22%,,,,,
"CHAKAINA Derrick  ,IND","2,083",14.61%,7.21%,,,,,
"MWELWA Mulenga S ,PF","1,622",11.38%,5.61%,,,,,
"MWANJA Owen  ,IND",559,3.92%,1.93%,,,,,
,"14,184",,,75,0.53%,"14,259","28,903",49.33%
00000003 KEEMBE,,,,,,,,
"SHIKAPWASHA Ronald  ,MMD","13,866",57.83%,26.29%,,,,,
"CHIMINSA Emmanuel  ,UPND","7,355",30.67%,13.95%,,,,,
"CHILONDA Catherine  ,PF","2,680",11.18%,5.08%,,,,,
,"23,901",,,78,0.33%,"23,979","52,741",45.47%
00000004 BWACHA,,,,,,,,
"MUSHANGA Sydney  ,PF","9,181",48.10%,24.20%,,,,,
"PENDE Godfrey  ,MMD","6,561",34.37%,17.29%,,,,,
"ZIBA Roger  ,UPND","1,477",7.74%,3.89%,,,,,
"BANDA Beck  ,IND",744,3.90%,1.96%,,,,,
"CHILESHE Webster  ,IND",559,2.93%,1.47%,,,,,
"MULANDO Fredrick  ,ADD",276,1.45%,0.73%,,,,,
"CHANDA Innocent  ,FDD",159,0.83%,0.42%,,,,,
"KATONGO Dorothy  ,ZED",132,0.69%,0.35%,,,,,
,"19,089",,,0,0.00%,"19,089","37,939",50.31%
00000005 KABWE CENTRAL,,,,,,,,
"KAPYANGA James  ,PF","14,884",54.71%,29.11%,,,,,
"CHILESHE Jane  ,MMD","8,348",30.69%,16.33%,,,,,
"MUYANGANA Margaret M ,UPND","2,415",8.88%,4.72%,,,,,
"CHAKULUNTA Jairus  ,UNIP",601,2.21%,1.18%,,,,,
"MTONGA Redson T ,FDD",445,1.64%,0.87%,,,,,
"CHIKANWA Christina M ,IND",211,0.78%,0.41%,,,,,
,"26,904",,,300,1.10%,"27,204","51,134",53.20%
00000006 KAPIRI MPOSHI,,,,,,,,
"ZIMBA Lawrence  ,MMD","16,575",47.86%,19.64%,,,,,
"MUSONDA Eddie  ,PF","9,519",27.49%,11.28%,,,,,
"CHUNGWA Robby  ,UPND","6,654",19.21%,7.89%,,,,,
"MALUTI Bishop  ,UNIP",884,2.55%,1.05%,,,,,
,"33,632",,,"1,000",2.89%,"34,632","84,386",41.04%
00000007 MKUSHI NORTH,,,,,,,,
"MUTALE Musonda  ,MMD","6,359",37.77%,16.75%,,,,,
"MPHANDE Ingrid  ,PF","5,252",31.19%,13.83%,,,,,
"CHANGWE Lucy  ,IND","3,360",19.96%,8.85%,,,,,
"CHILUMBA Willard  ,UPND","1,251",7.43%,3.29%,,,,,
"LITETA Caesar  ,FDD",100,0.59%,0.26%,,,,,
,"16,322",,,515,3.06%,"16,837","37,967",44.35%
00000008 MKUSHI SOUTH,,,,,,,,
"CHISANGA Sydney  ,MMD","3,744",60.56%,29.27%,,,,,
"CHISOPA Davies  ,PF","1,391",22.50%,10.87%,,,,,
"KAYUMBA Sunwell H ,UPND","1,035",16.74%,8.09%,,,,,
,"6,170",,,12,0.19%,"6,182","12,793",48.32%
00000009 MWEMBEZHI,,,,,,,,
"MILAMBO Austin  ,UPND","6,055",48.39%,25.09%,,,,,
"MATAWE Bornwell  ,MMD","2,790",22.30%,11.56%,,,,,
"MUKUPA Harryson  ,IND","2,615",20.90%,10.83%,,,,,
"KALENSHI Derick  ,PF","1,003",8.02%,4.16%,,,,,
,"12,463",,,50,0.40%,"12,513","24,137",51.84%
00000010 MUMBWA,,,,,,,,
