candidate_region,Votes,pct_cast_web,pct_registered_web,rejected_ballotpapers,pct_rejected_web,total_votes,total_registered,turnout_web
00000001 CHISAMBA,,,,,,,,
"BANDA Rupiah B ,MMD","7,552",47.30%,19.62%,,,,,
"HICHILEMA Hakainde  ,UPND","5,819",36.45%,15.11%,,,,,
"SATA Micheal C ,PF","2,016",12.63%,5.24%,,,,,
"KAUNDA Tilyenji C ,UNIP",38,0.24%,0.10%,,,,,
"CHIPIMO Elias C ,NAREP",32,0.20%,0.08%,,,,,
"MAGANDE Ngandu P ,NMP",21,0.13%,0.05%,,,,,
"MIYANDA Godfrey K ,HERITAGE",18,0.11%,0.05%,,,,,
"MILUPI Charles L ,ADD",16,0.10%,0.04%,,,,,
"NAWAKWI Edith Z ,FDD",9,0.06%,0.02%,,,,,
"MUTESA Fredrick  ,ZED",1,0.01%,0.00%,,,,,
,"15,522",,,443,2.77%,"15,965","38,500",41.47%
00000002 KATUBA,,,,,,,,
"BANDA Rupiah B ,MMD","7,899",54.34%,27.33%,,,,,
"HICHILEMA Hakainde  ,UPND","4,380",30.13%,15.15%,,,,,
"SATA Micheal C ,PF","2,101",14.45%,7.27%,,,,,
"KAUNDA Tilyenji C ,UNIP",31,0.21%,0.11%,,,,,
"CHIPIMO Elias C ,NAREP",27,0.19%,0.09%,,,,,
"MAGANDE Ngandu P ,NMP",24,0.17%,0.08%,,,,,
"MIYANDA Godfrey K ,HERITAGE",20,0.14%,0.07%,,,,,
"NAWAKWI Edith Z ,FDD",15,0.10%,0.05%,,,,,
"MILUPI Charles L ,ADD",13,0.09%,0.04%,,,,,
"MUTESA Fredrick  ,ZED",4,0.03%,0.01%,,,,,
,"14,514",,,23,0.16%,"14,537","28,903",50.30%
00000003 KEEMBE,,,,,,,,
"BANDA Rupiah B ,MMD","14,120",58.88%,26.77%,,,,,
"HICHILEMA Hakainde  ,UPND","6,631",27.65%,12.57%,,,,,
"SATA Micheal C ,PF","2,934",12.24%,5.56%,,,,,
"KAUNDA Tilyenji C ,UNIP",53,0.22%,0.10%,,,,,
"CHIPIMO Elias C ,NAREP",52,0.22%,0.10%,,,,,
"MIYANDA Godfrey K ,HERITAGE",37,0.15%,0.07%,,,,,
"MILUPI Charles L ,ADD",35,0.15%,0.07%,,,,,
"NAWAKWI Edith Z ,FDD",22,0.09%,0.04%,,,,,
"MAGANDE Ngandu P ,NMP",19,0.08%,0.04%,,,,,
"MUTESA Fredrick  ,ZED",9,0.04%,0.02%,,,,,
,"23,912",,,68,0.28%,"23,980","52,741",45.47%
00000004 BWACHA,,,,,,,,
"SATA Micheal C ,PF","10,551",53.78%,27.81%,,,,,
"BANDA Rupiah B ,MMD","7,308",37.25%,19.26%,,,,,
"HICHILEMA Hakainde  ,UPND","1,536",7.83%,4.05%,,,,,
"CHIPIMO Elias C ,NAREP",55,0.28%,0.14%,,,,,
"KAUNDA Tilyenji C ,UNIP",55,0.28%,0.14%,,,,,
"MAGANDE Ngandu P ,NMP",35,0.18%,0.09%,,,,,
"NAWAKWI Edith Z ,FDD",30,0.15%,0.08%,,,,,
"MILUPI Charles L ,ADD",23,0.12%,0.06%,,,,,
"MIYANDA Godfrey K ,HERITAGE",17,0.09%,0.04%,,,,,
"MUTESA Fredrick  ,ZED",9,0.05%,0.02%,,,,,
,"19,619",,,0,0.00%,"19,619","37,939",51.71%
