,VOTES OBTAINED,% AGAINST % AGAINST,REJECTED,REJECTED BALLOT,,TOTAL VOTES,REGISTERED,PERCENTAGE
NAMES,,VOTES CAST REGISTERED,VOTES,,PAPERS %,CAST,VOTERS,TURNOUT
name,votes_cast,pct_cast_pct_registered,rejected,,,,,
,,"01010001 ,KATUBA CONSTITUENCY",,,,,,
WARD: 000101001001 KATUBA,,,,,,,,
"MUDEMBA CHITAMBIRA  - M ,UPND","2,721",48.30% 26.28%,,,,,,
"NKHOSWE ROBBIE  - M ,PF","2,024",35.93% 19.55%,,,,,,
"HAMUSONDE KEEGAN  - M ,MMD",391,6.94% 3.78%,,,,,,
"NKABILA MANDELA  - M ,RAINBOW",220,3.91% 2.12%,,,,,,
"MITI SIMON  - M ,FDD",58,1.03% 0.56%,,,,,,
,,,219,,3.89%,"5,633","10,354",54%
WARD: 000101001002 CHUNGU,,,,,,,,
"KAYOLA KANGWA  - F ,PF","2,546",48.46% 28.31%,,,,,,
"KAUKA JANE  - F ,UPND","2,234",42.52% 24.84%,,,,,,
"LUNGU DOROTHY  - F ,FDD",260,4.95% 2.89%,,,,,,
"MUBANGA FRANK  - M ,RAINBOW",100,1.90% 1.11%,,,,,,
,,,114,,2.17%,"5,254","8,993",58%
WARD: 000101001003 MUNGULE,,,,,,,,
"MUTENDE KELVIN  - M ,UPND","2,537",69.05% 40.67%,,,,,,
"ZULU JAILOS  - M ,PF",876,23.84% 14.04%,,,,,,
"GONDWE WRIGHT  - M ,MMD",129,3.51% 2.07%,,,,,,
,,,132,,3.59%,"3,674","6,238",59%
WARD: 000101001004 CHOLOKELO,,,,,,,,
"SIMUNGULU DENNIS  - M ,UPND","1,379",56.40% 31.05%,,,,,,
"MUYUYA GREEDWELL  - M ,PF",972,39.75% 21.89%,,,,,,
,,,94,,3.84%,"2,445","4,441",55%
WARD: 000101001005 MUCHENJE,,,,,,,,
"MUSAKABANTU JUSTINE  - M ,UPND","2,731",81.30% 51.78%,,,,,,
"KACHANTA GABBY  - M ,PF",430,12.80% 8.15%,,,,,,
,,,198,,5.89%,"3,359","5,274",64%
WARD: 000101001006 CHILOCHABALENJE,,,,,,,,
"NG'ANDU CLEMENT  - M ,UPND","2,015",77.50% 48.16%,,,,,,
"MUYUNDA BOTHA  - M ,PF",435,16.73% 10.40%,,,,,,
,,,150,,5.77%,"2,600","4,184",62%
WARD: 000101001007 KABILE,,,,,,,,
"SITUMBEKO GERSHOM  - M ,UPND","1,417",68.99% 32.79%,,,,,,
"BAKASA CLEMENT  - M ,PF",313,15.24% 7.24%,,,,,,
"HAMACHILI BRYSON  - M ,FDD",238,11.59% 5.51%,,,,,,
,,,86,,4.19%,"2,054","4,322",48%
,,"01010002 ,KEEMBE CONSTITUENCY",,,,,,
